,modo,tipo,bairro,rua,numero,metros_quadrados,quartos,vagas,banheiros,valor
147,venda,Casa,Matatu, Rua Adelaide Guimarães,175.0,136.0,3,0,3,330000
148,venda,Apartamento,Vila Laura, Rua Bernardo Spector,81.0,111.0,3,0,2,335000
149,venda,Apartamento,Costa Azul, Rua Monsenhor Gaspar Sadoc,,116.0,2,2,3,340000
150,venda,Apartamento,Pituba, Alameda Florença,33.0,83.96,2,1,3,340000
151,venda,Apartamento,Imbuí, Rua das Patativas,,69.47,3,1,3,340000
152,venda,Apartamento,Candeal, Rua Alberto Pondé,59.0,119.91,3,2,2,350000
153,venda,Apartamento,Federação, Rua do Trilho,195.0,73.0,2,1,2,360000
154,venda,Apartamento,Caminho das Árvores, Avenida Tancredo Neves,1160.0,101.0,3,1,3,430000
155,venda,Apartamento,Piatã, Rua da Gratidão,,81.0,3,1,2,430000
156,venda,Apartamento,Graça, Rua Manoel Barreto,,91.0,2,1,2,450000
157,venda,Apartamento,Stiep, Rua Edístio Pondé,226.0,100.79,3,2,3,450000
158,venda,Apartamento,Resgate, Rua Edgard Loureiro,,92.0,3,2,4,480000
159,venda,Apartamento,Parque Bela Vista, Avenida Antônio Carlos Magalhães,,89.0,3,1,2,495000
160,venda,Apartamento,Caminho das Árvores, Rua Várzea de Santo Antônio,331.0,118.4,3,2,3,500000
161,venda,Apartamento,Vila Laura, Rua Raul Leite,1470.0,70.0,2,1,1,525000
162,venda,Apartamento,Brotas, Avenida Dom João Vi,,84.0,3,1,2,525000
163,venda,Apartamento,Armação, Rua Rodolpho Coelho Cavalcante,,86.0,3,2,3,535000
164,venda,Apartamento,Barra, Rua José Sátiro de Oliveira,6.0,151.09,3,1,2,540000
165,venda,Apartamento,Pituba, Rua Colmar Americano da Costa,,81.0,3,2,3,550000
166,venda,Apartamento,Itaigara, Rua Florentino Silva,,120.0,3,1,1,550000
167,venda,Apartamento,Graça, Rua Desembargador Oscar Dantas,,113.43,3,1,3,550000
168,venda,Apartamento,Pituba, Rua Artur Gomes de Carvalho,,86.0,3,2,3,550000
169,venda,Apartamento,Armação, Rua Rodolpho Coelho Cavalcante,,72.0,2,2,1,560000
170,venda,Apartamento,Itaigara, Rua Doutor Hosannah de Oliveira,,103.0,3,2,1,600000
171,venda,Apartamento,Pituba, Rua Santa Helena,,180.0,4,2,2,600000
172,venda,Apartamento,Pituaçu, Rua Marquês de Queluz,631.0,90.7,2,2,2,630000
173,venda,Apartamento,Parque Bela Vista, Rua Professor Ildefonso de Mesquita,113.0,173.66,4,3,2,630000
174,venda,Apartamento,Barra, Rua Afonso Celso,,50.87,1,1,1,650000
175,venda,Apartamento,Barra, Avenida Princesa Isabel,,149.88,4,1,1,650000
176,venda,Apartamento,Pituba, Rua Hilton Rodrigues,,138.0,4,2,4,660000
177,venda,Apartamento,Ondina, Rua Professor Edgar Mata,,210.0,4,2,4,670000
178,venda,Apartamento,Pituba, Rua João Bião de Cerqueira,,82.0,3,1,3,695000
179,venda,Apartamento,Caminho das Árvores, Rua do Benjoim,170.0,105.07,3,2,3,700000
180,venda,Apartamento,Barra, Rua Guadalajara,534.0,110.0,3,2,3,750000
181,venda,Casa em condomínio,Itapuã, Rua Flamengo,,127.0,2,2,4,750000
182,venda,Casa em condomínio,Stella Maris, Alameda Praia Garapuá,,280.0,4,3,6,1250000
183,venda,Casa,Monte Serrat, Travessa Rio São Francisco,12.0,733.33,3,10,1,1400000
184,venda,Apartamento,Graça, Avenida Euclydes da Cunha,,223.0,4,2,2,1500000
185,venda,Casa,Matatu, Rua Adelaide Guimarães,85.0,600.0,5,2,5,1580000
186,venda,Casa em condomínio,Piatã, Rua Juiz Orlando Heleno de Melo,119.0,557.0,4,2,3,1600000
187,venda,Apartamento,Jardim Apipema, Rua Professor Sabino Silva,,475.0,4,5,5,2300000
188,venda,Terreno,Caminho das Árvores, Alameda das Algarobas,,210.0,0,3,0,2500000
189,venda,Prédio,Jardim Apipema, Rua Professor Sabino Silva,38.0,833.0,0,5,2,3950000
190,venda,Terreno,Jardim Apipema, Rua Plínio Moscoso,1.0,923.0,0,0,0,4500000
191,venda,Hotel,Barra, Rua Engenheiro Milton Oliveira,,3003.59,0,0,0,18000000
192,venda,Apartamento,Machado, Rua Americano da Costa,101.0,55.0,2,0,1,153000
193,venda,Apartamento,Pernambués, Rua Itapetinga,112.0,72.0,3,1,2,300000
194,venda,Apartamento,Pernambués, Rua Thomaz Gonzaga,58.0,68.0,2,1,2,290000
195,venda,Casa,Piatã, Avenida Orlando Gomes,,650.0,5,4,6,3000000
196,venda,Apartamento,Piatã, Rua Marcos Pinheiro,70.0,50.0,2,1,1,242000
197,venda,Apartamento,Pernambués, Rua Thomaz Gonzaga,58.0,68.0,2,1,2,300000
198,venda,Apartamento,Candeal, Rua José Pedreira,,54.0,1,1,2,245000
199,venda,Apartamento,Jardim Apipema, Rua Professor Sabino Silva,,138.0,4,1,1,690000
200,venda,Casa em condomínio,Stella Maris, Alameda Praia Garapuá,2340.0,158.0,4,6,4,1300000
201,venda,Sala,Parque Bela Vista, Avenida Antônio Carlos Magalhães,3129.0,39.86,0,1,1,170000
202,venda,Sala,Caminho das Árvores, Rua Frederico Simões,,27.0,0,1,1,146000
203,venda,Apartamento,Ondina, Avenida Oceânica,,154.0,3,2,3,500000
204,venda,Casa,Itaigara, Rua Oswaldo Valente,,486.0,4,7,1,1200000
